Ten_quan,Mon_an,Dia_chi,Co_so,Toa_do,Thoi_gian_mo_cua,Price,meal_type,cuisine
Cơm Tấm Bà Chị Hai,Câm tấm,"51 Đặng Văn Ngữ , P. 14","A, H","10.79336505985468, 106.66875929131196",18:00 - 22:00,70000,full meal,vietnamese
Tiệm Bún Đậu CÁM,Bún đậu,"206 Nguyễn Tri Phương, P. 4",B,"10.76109287218412, 106.66936586623243",10:00 - 22:00,100000,full meal,vietnamese
Nước Vỉa Hè 347,Trà đào dầm,347 Nguyễn Chí Thanh,B,"10.756907214989518, 106.65477720301561",19:00 - 23:00,15000,snack,drinks
Ốc Sữa 29,Óc,"11 Hoa Sữa, P. 7","A, H","10.798441496840091, 106.69129077782542",15:00 - 23:59,50000,snack,vietnamese
Lẩu Bò Hẻm 616,Lẩu bò,"Hẻm 616 Cách Mạng Tháng 8, P. 11",B,"10.786730356904087, 106.66587724719368",18:00 - 22:00,200000,full meal,vietnamese
Bò lá lốt mỡ chài,bò lá lốt,129/12B Hoàng Văn Thụ p8,"A, H","10.7987850578594, 106.67555567776468",15:00 đến hết,80000,full meal,vietnamese
Cơm tấm Phúc Lộc Thọ,Cơm,"353 Sư Phạm Hạnh, P12",B,"10.77026696827088, 106.67124453129769",10:00 - 21:30,80000,full meal,vietnamese
Thèm Gì Cũng Có,Bánh tráng tóp mỡ,"327 Phan Đình Phùng, P. 15","A, H","10.798447046574116, 106.68057382198928",09:00 - 22:00,75000,snack,vietnamese
Vua Mì Bò,Mì bò hầm,190 Cao Thắng P. 11,B,"10.774528520553543, 106.6800403300372",11:00 - 23:59,50000,full meal,vietnamese
Nhà Thơm,Trà trái cây,"42CT Tam Đảo, Cư Xá Bắc Hải, P. 15",B,"10.780186963314367, 106.66457246253555",08:00 - 22:00,30000,snack,drinks
Bún Bò Cô Thu,Bún bò,463B Cách Mạng Tháng 8,B,"10.788314248062061, 106.68574300074364",15:30 - 00:00,40000,full meal,vietnamese
MỘC,Bò bít tết,11 Công Chúa Ngọc Hân. P. 13,A,"10.764047652297048, 106.6564173080078",07:30 - 12:00 | 18:30 - 21:00,75000,full meal,vietnamese
Hẻm nướng 197,Đồ nướng,"197 Ngô Quyền, P. 6,",B,"10.764397290374706, 106.66488828527156",18:30 - 21:00,500000,full meal,vietnamese
Mì Cay Asan,Mỳ cay,"168 Đường Trịnh Quang Nghị, Bình Đông, Hồ Chí Minh, Việt Nam",N,"10.707094025232912, 106.62479411840411",9:00 - 22:00,100000,full meal,korean
Phở Kiều Oanh,Phở,"3 Phú Định, Bình Đông, Hồ Chí Minh, Việt Nam",N,"10.709661661162412, 106.6226899622676",7:00 - 21:30,70000,full meal,vietnamese
Happy Coffee,Cafe,"Chung cư Phú Lợi/Lô A D1, Khu dân cư Phú Lợi, Bình Đông, Hồ Chí Minh, Việt Nam",N,"10.70357922119857, 106.6198883711478",05:00 – 20:00,60000,snack,drinks
Ẩm thực Nhớ - KDC Phi Long 5 (Mizuki Park),Lẩu nướng,"Số 1, khu Dân Cư, Bình Hưng, Hồ Chí Minh",N,"10.721862164535898, 106.66306929580198",08:00 - 23:00,470000,full meal,vietnamese
Quán ăn vườn Táo 1,lẩu,"Bình Hưng, Hồ Chí Minh, Việt Nam",N,"10.690677726171957, 106.63106711114261",08:00 - 23:01,90000,full meal,vietnamese
Quán Càfê Sân Vườn Góc Phố,Cà phê trân châu,"Đường Ấp 6, Ấp 1, Hưng Long, Hồ Chí Minh, Việt Nam",N,"10.68298988616398, 106.62154521725257",08:00 - 23:02,90000,snack,drinks
Chicken Plus Bình Chánh,Gà rán,"Khu Dân Cư, Đường 5B/22 An Phú Tây - Hưng Long, Bình Chánh, Hồ Chí Minh 00084, Việt Nam",N,"10.683573085710622, 106.61348913553608",10:00–20:30,150000,fast food,western
Quán Ăn Như Ý quán bò bít tết,Bò bít tết,"Đường số 8 KDC, Ấp 2, Bình Chánh, Hồ Chí Minh, Việt Nam",N,"10.68201081437448, 106.61407015088612",06:00–21:00,135000,full meal,western
Bún Đậu Mẹt An Phú Tây,Bún đậu,"11 Đường số 3, Bình Chánh, Hồ Chí Minh, Việt Nam",N,"10.68063647148412, 106.61355932202797",09:00–21:30,80000,full meal,vietnamese
Quán Bún đậu mắm tôm quê tôi ăn vặt lẩu 39k,Bún đậu,"823 An Phú Tây - Hưng Long, Hưng Long, Hồ Chí Minh, Việt Nam",N,"10.669667103420448, 106.61472410929647",09:00–21:31,75000,snack,vietnamese
"Lẩu gà nòi - Hưng Long, Bình Chánh",Lẩu,"MJ76+C25, An Phú Tây - Hưng Long, Ấp 4, Hưng Long, Hồ Chí Minh, Việt Nam",N,"10.66361473556098, 106.61123626327453",16:00–21:00,420000,full meal,vietnamese
Ẩm thực Hương Sen,Cơm gia đình,"157 ấp 18, Hưng Long, Hồ Chí Minh 739300",N,"10.679363860236517, 106.63982829395584",10:00–20:30,80000,full meal,vietnamese
Nhà Hàng Ẩm Thực MỘC SƠN,Cơm gia đình,"8-10-12 Đường số 3, KDC Bến Lức, Bình Đông, Hồ Chí Minh, Việt Nam",N,"10.696046090301442, 106.60928159904365",09:30–00:00,2000000,full meal,vietnamese
Lẩu Dê Đức Lộc Phát,Lẩu dê,"Đ. Song Hành QL50, Khu dân cư Việt Phú Garden, Hưng Long, Hồ Chí Minh, Việt Nam",N,"10.679048253661065, 106.64895147073415",11:00–23:00,1000000,full meal,vietnamese
Quán Ốc Gia Đình,Ốc,"30 Đ. Số 19, Khu dân cư Việt Phú Garden, Bình Hưng, Hồ Chí Minh, Việt Nam",N,"10.688386260018234, 106.64431189588521",15:00–23:30,50000,snack,vietnamese
Lẩu Mini 39k,Lẩu mini,"A12, ấp1, 2001 ấp1, Bình Hưng, Hồ Chí Minh, Việt Nam",N,"10.686146258538614, 106.65253119245624",16:00–21:00,40000,full meal,vietnamese
Mr. Pokki Korean,Đồ Hàn,"1J Đường số 12, Khu dân cư phong Phú 4, Bình Hưng, Hồ Chí Minh, Việt Nam",N,"10.694901838107265, 106.64721423326164",16:00–22:00,350000,full meal,korean
MẸT RESTAURANT,Bún đậu mắm tôm,"115 Đường Số 14, Khu dân cư Việt Phú Garden, Bình Hưng, Hồ Chí Minh, Việt Nam",N,"10.691056192063991, 106.64272676219612",10:00–21:30,160000,full meal,vietnamese
Bánh Kem Ngọc Hiền,Bánh kem,"2861 Phạm Thế Hiển, Bình Đông, Hồ Chí Minh, Việt Nam",N,"10.720171149619967, 106.63413938087031",0:00 - 24:00,500000,snack,dessert
Cút quay KuBum,Cút quay,"61 An Dương Vương, An Lạc, Hồ Chí Minh, Việt Nam",N,"10.716298078912539, 106.61897830187215",8:00 - 23:00,120000,full meal,vietnamese
